Angle	Raw	Cleaned
0.00	206.39	206.39
2.00	299.28	224.97
4.00	299.78	243.64
6.00	204.55	243.28
8.00	205.54	243.11
10.00	206.17	243.06
12.00	204.53	224.11
14.00	205.87	205.33
16.00	204.53	205.33
18.00	204.04	205.03
20.00	205.44	204.88
22.00	204.56	204.89
24.00	204.95	204.70
26.00	205.04	204.81
28.00	58.63	175.72
30.00	57.30	146.10
32.00	57.16	116.62
34.00	56.68	86.96
36.00	56.22	57.20
38.00	56.24	56.72
40.00	55.65	56.39
42.00	55.19	56.00
44.00	55.14	55.69
46.00	55.15	55.47
48.00	55.14	55.25
50.00	55.14	55.15
52.00	55.11	55.14
54.00	55.13	55.13
56.00	55.15	55.13
58.00	55.14	55.14
60.00	55.14	55.14
62.00	55.14	55.14
64.00	55.13	55.14
66.00	55.19	55.15
68.00	55.63	55.25
70.00	55.73	55.36
72.00	56.20	55.58
74.00	56.67	55.89
76.00	57.33	56.31
78.00	58.13	56.81
80.00	58.50	57.37
82.00	68.73	59.87
84.00	68.37	62.21
86.00	68.67	64.48
88.00	68.68	66.59
90.00	68.88	68.66
92.00	68.24	68.57
94.00	68.24	68.54
96.00	68.74	68.56
98.00	68.41	68.50
100.00	68.52	68.43
102.00	68.85	68.55
104.00	60.06	66.92
106.00	58.47	64.86
108.00	57.40	62.66
110.00	57.30	60.42
112.00	56.82	58.01
114.00	56.30	57.26
116.00	56.24	56.81
118.00	56.24	56.58
120.00	55.72	56.27
122.00	55.73	56.05
124.00	55.75	55.94
126.00	55.75	55.84
128.00	55.77	55.75
130.00	55.75	55.75
132.00	55.29	55.66
134.00	55.74	55.66
136.00	55.76	55.66
138.00	55.78	55.66
140.00	55.79	55.67
142.00	55.84	55.78
144.00	56.26	55.89
146.00	56.32	56.00
148.00	56.81	56.21
150.00	56.81	56.41
152.00	57.29	56.70
154.00	57.79	57.00
156.00	58.44	57.43
158.00	195.97	85.26
160.00	196.43	113.18
162.00	196.12	140.95
164.00	196.90	168.77
166.00	318.69	220.82
168.00	197.95	221.22
170.00	318.57	245.65
172.00	318.58	270.14
174.00	318.54	294.47
176.00	318.63	294.45
178.00	318.78	318.62
180.00	318.65	318.64
