Angle(deg)  Distance(m)
0 206.3898
2 299.2765
4 299.7764
6 204.5515
8 205.5394
10 206.1705
12 204.5322
14 205.8673
16 204.5279
18 204.0409
20 205.4395
22 204.5558
24 204.9482
26 205.0428
28 58.6257
30 57.3035
32 57.1562
34 56.6821
36 56.2199
38 56.2393
40 55.6512
42 55.1922
44 55.1438
46 55.1481
48 55.1352
50 55.1417
52 55.1127
54 55.1320
56 55.1492
58 55.1449
60 55.1395
62 55.1363
64 55.1331
66 55.1890
68 55.6276
70 55.7340
72 56.2048
74 56.6714
76 57.3325
78 58.1312
80 58.4989
82 68.7274
84 68.3652
86 68.6694
88 68.6844
90 68.8768
92 68.2405
94 68.2351
96 68.7425
98 68.4081
100 68.5221
102 68.8521
104 60.0565
106 58.4699
108 57.3981
110 57.3013
112 56.8219
114 56.3005
116 56.2435
118 56.2360
120 55.7233
122 55.7319
124 55.7544
126 55.7501
128 55.7673
130 55.7523
132 55.2900
134 55.7448
136 55.7566
138 55.7792
140 55.7942
142 55.8404
144 56.2607
146 56.3188
148 56.8133
150 56.8111
152 57.2927
154 57.7851
156 58.4408
158 195.9742
160 196.4310
162 196.1225
164 196.8976
166 318.6930
168 197.9478
170 318.5705
172 318.5780
174 318.5382
176 318.6328
178 318.7833
180 318.6522
