Angle  Distance cm
0  156.74
2  60.76
4  62.34
6  141.88
8  152.53
10  151.55
12  164.64
14  146.58
16  141.94
18  145.46
20  67.72
22  63.34
24  63.71
26  61.96
28  62.29
30  61.63
32  61.38
34  60.89
36  61.32
38  61.29
40  61.23
42  60.46
44  60.81
46  60.76
48  61.22
50  60.82
52  60.47
54  60.82
56  60.81
58  60.87
60  61.26
62  61.73
64  61.75
66  61.87
68  61.62
70  62.78
72  62.42
74  63.80
76  63.83
78  64.65
80  144.36
82  140.54
84  73.44
86  73.44
88  74.29
90  72.03
92  71.72
94  71.65
96  72.48
98  72.58
100  72.96
102  73.00
104  73.02
106  73.07
108  72.68
110  72.40
112  77.38
114  146.42
116  147.62
118  75.40
120  64.79
122  61.72
124  61.28
126  61.62
128  60.76
130  60.73
132  61.13
134  60.25
136  60.66
138  60.26
140  60.26
142  60.63
144  60.69
146  61.09
148  61.14
150  61.17
152  61.60
154  61.21
156  60.83
158  62.12
160  63.41
162  63.44
164  141.04
166  143.46
168  151.96
170  156.11
172  142.27
174  155.58
176  159.38
178  159.26
180  143.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
