Angle(deg) Distance(m)
0 0.2809
4 0.2018
8 2.5000
12 1.4307
16 1.4319
20 1.4454
24 1.4376
28 1.4590
32 2.0401
36 2.0526
40 2.5000
44 2.5000
48 2.5000
52 2.5000
56 2.5000
60 2.5000
64 2.5000
68 2.5000
72 0.1968
76 0.1916
80 0.1875
84 0.1816
88 0.1818
92 0.1774
96 0.1774
100 0.1875
104 0.1949
108 0.1916
112 0.1984
116 0.2024
120 0.4740
124 0.4862
128 0.4739
132 0.5760
136 0.4868
140 0.4901
144 0.4897
148 0.4392
152 0.4428
156 0.4419
160 0.4652
164 0.2823
168 0.2853
172 0.2488
176 0.2405
180 0.2357
END
